filename	subcategory	authors	title	keywords	topics
370.xml	Long Paper	Liu, Jyi-Shane; Lee, Ching-Ying; Ning, Ke-Chih	Evaluating Modal Use in News Corpus for Constructing Rhetorical Context of Historical Event	Linguistic modality; corpus evaluation; rhetorical context; historical event	corpora and corpus activities; historical studies; linguistics; English; rhetorical studies
62.xml	Poster	Falk, Michael Gregory	Faraway, So Close!: Reading Adeline Mowbray Closely Using Topic Modelling	Amelia Opie; Adeline Mowbray; Topic Modelling; Close Reading; Novels	corpora and corpus activities; digital humanities - nature and significance; literary studies; text analysis; english studies; data mining / text mining; English
569.xml	Short Paper	Koentges, Thomas	Researchers to your Driving Seats: Building a Graphical User Interface for Multilingual Topic-Modelling in R with Shiny	Topic-modelling; Finding Aids; GLAM metadata organisation; Multilinguality; Morpho-syntactic normalization	archives, repositories, sustainability and preservation; classical studies; corpora and corpus activities; digital humanities - institutional support; information retrieval; interface and user experience design; multilingual / multicultural approaches; digitisation, resource creation, and discovery; text analysis; other; knowledge representation; GLAM: galleries, libraries, archives, museums; bibliographic methods / textual studies; morphology; cultural studies; visualisation; data mining / text mining; English; digital humanities - multilinguality
89.xml	Short Paper	Hammond, Adam; Brooke, Julian	Project Dialogism: Toward a Computational History of Vocal Diversity in English-Language Literature	dialogism; computational linguistics; style; generated TEI; modernism	corpora and corpus activities; literary studies; natural language processing; stylistics and stylometry; text analysis; interdisciplinary collaboration; linguistics; genre-specific studies: prose, poetry, drama; english studies; networks, relationships, graphs; linking and annotation; data mining / text mining; English
623.xml	Poster	Mylonas, Elli; DiGiulio, Scott	A Workflow for Encoding and Publishing Inscriptions	epigraphy; project management; encoding	classical studies; encoding - theory and practice; project design, organization, management; xml; English
676.xml	Short Paper	Willan, Claude	Faceting and Mining Network Graphs 	networks; archives; manuscripts	archives, repositories, sustainability and preservation; literary studies; digital humanities - pedagogy and curriculum; networks, relationships, graphs; English
274.xml	Poster	Burghardt, Manuel; Kao, Michael; Wolff, Christian	Beyond Shot Lengths – Using Language Data and Color Information as Additional Parameters for Quantitative Movie Analysis	quantitative movie analysis	audio, video, multimedia; film and cinema studies; visualisation; English
408.xml	Short Paper	Hendery, Rachel Marion	Academic Pillow-Talk and Two Immersive Explorations of Linguistic Space	virtual reality; linguistics; data visualisation; archives; collaborative research	archives, repositories, sustainability and preservation; virtual and augmented reality; games and meaningful play; linguistics; visualisation; maps and mapping; English
706.xml	Pre-Conference Workshop and Tutorial	Szabo, Victoria; Jacobs, Hannah; Triplett, Edward	Digital Archiving and Storytelling in the Classroom with Omeka and CurateScape	omeka; curatescape; archives; exhibitions; mobile	archives, repositories, sustainability and preservation; teaching and pedagogy; metadata; other; internet / world wide web; GLAM: galleries, libraries, archives, museums; digital humanities - pedagogy and curriculum; mobile applications and mobile design; English
179.xml	Long Paper	Liu, Chao-Lin	Quantitative Analyses of Chinese Poetry of Tang and Song Dynasties: Using Changing Colors and Innovative Terms as Examples	Chinese poetry; colors; corpus comparison; collocations; new word invention	corpora and corpus activities; asian studies; content analysis; cultural studies; English
700.xml	Pre-Conference Workshop and Tutorial	Jacomy, Mathieu; Grandjean, Martin; Girard, Paul	Visual Network Analysis with Gephi Workshop Collective Interpretation of DH Communities Through Twitter Networks	network; data visualisation; exploratory data analysis; gephi; interpretation	content analysis; social media; maps and mapping; networks, relationships, graphs; data mining / text mining; English
397.xml	Panel / Multiple Paper Session	Faull, Katherine Mary; Jakacki, Diane Katherine; O'Sullivan, James; Earhart, Amy; Kaufman, Micki	Access, Ownership, Protection: The Ethics of Digital Scholarship	data access; data protection; archival access; intellectual propoerty; copyright	archives, repositories, sustainability and preservation; digital humanities - institutional support; information retrieval; authorship attribution / authority; visualisation; copyright, licensing, and Open Access; maps and mapping; English
726.xml	Pre-Conference Workshop and Tutorial	Heyworth, Gregory; Van Duzer, Chet Adam; Boydston, Ken; Phelps, Michael; Easton, Roger	A Demonstration of Multispectral Imaging	multispectral; hyperspectral; spectral; manuscript studies	archives, repositories, sustainability and preservation; image processing; historical studies; medieval studies; multilingual / multicultural approaches; project design, organization, management; digitisation, resource creation, and discovery; interdisciplinary collaboration; renaissance studies; English
477.xml	Long Paper	Ganascia, Jean-Gabriel; Mainardi, Chiara	Crossed Semantic Analysis of Literary Texts with DeSeRT	reformulation; paraphrases; topics detection; textual reuses; semantic search	corpora and corpus activities; literary studies; natural language processing; semantic analysis; french studies; content analysis; data mining / text mining; English
435.xml	Short Paper	Fendt, Kurt; Lane, Suzanne; Stuhl, Andy Kelleher	Writing Composition in the Close Reading Cycle: Developing The Annotation Studio Idea Space	writing; composition; annotation; pedagogy; interface design	interface and user experience design; teaching and pedagogy; scholarly editing; software design and development; knowledge representation; hypertext; bibliographic methods / textual studies; digital humanities - pedagogy and curriculum; creative and performing arts, including writing; linking and annotation; English
378.xml	Poster	Söring, Sibylle; Blümm, Mirjam	Research Data in the Humanities: Present, Preserve and Share	research data; digital resources; repositories; data models; interoperability	archives, repositories, sustainability and preservation; other; knowledge representation; standards and interoperability; English
673.xml	Short Paper	Gutiérrez De la Torre, Silvia Eunice	New Maps for the Lettered City: a Data Visualization Exploration of 19th Century Salons in Mexico	data visualization	databases and dbms; spanish and spanish american studies; visualisation; English
30.xml	Poster	Rafiyenko, Dariya	Excerpta Constantiniana: From Palimpsest to a Digital Edition of a Medieval Encyclopaedia	digital scholarly edition; editorial concept; graphical reconstruction; XSLT	classical studies; scholarly editing; xml; English
597.xml	Short Paper	Delestage, Charles-Alexandre; Leleu-Merviel, Sylvie; Lamboux-Durand, Alain	Automatisation Du Workflow Audiovisuel, Quel Impact Sur Le Spectateur ? 	automatisation; audiovisuel; workflow; captation multi-caméras; construits de sens	audio, video, multimedia; interface and user experience design; digitisation, resource creation, and discovery; user studies / user needs; digitisation - theory and practice; media studies; French
267.xml	Short Paper	Maryl, Maciej; Wciślik, Piotr	Remediations of Polish Literary Bibliography: Towards a Lossless and Sustainable Retro-Conversion Model for Bibliographical Data	Bibliography; ontology; remediation; standards; tools	literary studies; metadata; data modeling and architecture including hypothesis-driven modeling; ontologies; digitisation, resource creation, and discovery; bibliographic methods / textual studies; cultural studies; English
74.xml	Long Paper	Sedaghat Payam, Mehdy	The Mutual Relationship of Linguistic and Non-linguistic Elements in Breaking Down the Hierarchy of Language in Digital Narrative	narrative; novel; media; linguistic; non-lingustic	interface and user experience design; literary studies; content analysis; hypertext; bibliographic methods / textual studies; english studies; media studies; English
655.xml	Long Paper	Dillen, Wout	Sequentiality in Genetic Digital Scholarly Editions. Models for Encoding the Dynamics of the Writing Process	genetic criticism; encoding; XML; TEI; digital scholarly editing	encoding - theory and practice; xml; English
735.xml	Pre-Conference Workshop and Tutorial	Papadopoulos, Konstantinos	Reflectance Transformation Imaging (RTI) for Cultural Heritage Artefacts	Reflectance Transformation Imaging; artefacts; digitisation; surface enhancement; interpretation	archaeology; image processing; digitisation, resource creation, and discovery; visualisation; digitisation - theory and practice; English
616.xml	Short Paper	Górska-Olesińska, Monika; Pisarski, Mariusz	Translating Electronic Literature. Multicultural, Multilingual and Cross-Platform Encounters	electronic literature; translation; platforms; generators; generative scholarship; multilingual and multicultural aspects of digital humanities	literary studies; multilingual / multicultural approaches; other; games and meaningful play; machine translation; programming; english studies; translation studies; media studies; English; digital humanities - diversity; digital humanities - multilinguality
497.xml	Panel / Multiple Paper Session	Berkowitz, Joel; Caplan, Debra; Legutko, Agnieszka; Rubinstein, Aaron	Institutionalizing and implementing the Digital Yiddish Theatre Project	Yiddish; Theatre; Jewish Studies; Performance	databases & dbms; historical studies; literary studies; metadata; multilingual / multicultural approaches; digitisation, resource creation, and discovery; interdisciplinary collaboration; cultural studies; maps and mapping; linking and annotation; media studies; data mining / text mining; English
53.xml	Long Paper	Kawase, Akihiro	Regional Classification of Traditional Japanese Folk Songs from the Chugoku District	Traditional Japanese folk songs; regional classification; musical schema; tetrachord theory	audio, video, multimedia; historical studies; information retrieval; music; asian studies; cultural studies; data mining / text mining; English; digital humanities - diversity
501.xml	Short Paper	Green, Harriett Elizabeth; Dickson, Eleanor Frances; Bhattacharyya, Sayan	Scholarly Requirements for Large Scale Text Analysis: A User Needs Assessment by the HathiTrust Research Center	user assessment; text analysis; digital scholarship centers	digital humanities - institutional support; text analysis; user studies / user needs; GLAM: galleries, libraries, archives, museums; interdisciplinary collaboration; English
137.xml	Long Paper	Miller, Ben; Berger, Cindy; Bhattcharyya, Sayan; Caselli, Tommaso; Kelman, David; Olive, Jennifer; Rajiva, Jay	Contextualizing Receptions of World Literature by Mining Multilingual Wikipedias	world literature in translation; natural language processing; Wikipedia; pedagogy; digtial humanities	teaching and pedagogy; literary studies; multilingual / multicultural approaches; natural language processing; digital humanities - pedagogy and curriculum; cultural studies; data mining / text mining; English; digital humanities - multilinguality
651.xml	Panel / Multiple Paper Session	O'Donnell, Daniel Paul; Bordalejo, Barbara; Murray Ray, Padmini; del Rio, Gimena; González-Blanco, Elena	Boundary Land: Diversity as a defining feature of the Digital Humanities 	diversity; interdisciplinarity; boundary objects	digital humanities - nature and significance; digital humanities - institutional support; multilingual / multicultural approaches; interdisciplinary collaboration; digital humanities - pedagogy and curriculum; cultural studies; history of Humanities Computing/Digital Humanities; cultural infrastructure; English; digital humanities - diversity; digital humanities - multilinguality
598.xml	Poster	Organisciak, Peter; Bhattacharyya, Sayan; Auvil, Loretta; Unnikrishnan, Leena; Schmidt, Benjamin; Shamim, Muhammad Saad; McDonald, Robert; Downie, J. Stephen; Aiden, Erez Lieberman	Adding Flexibility to Large-Scale Text Visualization with HathiTrust+Bookworm	text analysis; visualization; scholarly curation	corpora and corpus activities; visualisation; data mining / text mining; English
455.xml	Short Paper	Reeve, Jonathan	Git-Lit: an Application of Distributed Version Control Technology toward the Creation of 50,000 Digital Scholarly Editions 	corpora; version control; scholarly editing; collaborative editing; git	archives, repositories, sustainability and preservation; corpora and corpus activities; literary studies; publishing and delivery systems; digitisation, resource creation, and discovery; scholarly editing; text analysis; crowdsourcing; copyright, licensing, and Open Access; standards and interoperability; data mining / text mining; English
385.xml	Short Paper	Wagner, Andreas; Caesar, Ingo	The School of Salamanca on the Semantic Web 	semantic web; TEI; early modernity; discourse networks	historical studies; metadata; ontologies; philosophy; information architecture; spanish and spanish american studies; theology; law; renaissance studies; semantic web; networks, relationships, graphs; linking and annotation; English
204.xml	Short Paper	Wissik, Tanja; Resch, Claudia	Digitale Tools und Methoden für die geisteswissenschaftliche Forschung praxisnah erklärt: Ein neues Format im Test.	knowledge transfer; DH training; teaching format; user involvement; outreach	teaching and pedagogy; user studies / user needs; digital humanities - pedagogy and curriculum; German
514.xml	Short Paper	Ferreira Lopes, Patricia; Pinto Puerto, Francisco; Jimenez Mavillard, Antonio; Suarez, Juan Luis	Seeing Andalucia's Late Gothic heritage through GIS and Graphs	Heritage knowledge and management; Geographic Information System; Graphs; Late Gothic Heritage	art history; databases & dbms; geospatial analysis, interfaces and technology; historical studies; medieval studies; ontologies; knowledge representation; spanish and spanish american studies; digital humanities - facilities; interdisciplinary collaboration; cultural studies; visualisation; digitisation - theory and practice; cultural infrastructure; maps and mapping; networks, relationships, graphs; spatio-temporal modeling, analysis and visualisation; data mining / text mining; English
324.xml	Long Paper	van der Wouden, Ton	Taalportaal: A New Tool For Linguistic Research	Dutch; Frisian; Syntax; Morphology; Phonology	linguistics; morphology; cultural infrastructure; English; digital humanities - multilinguality
709.xml	Pre-Conference Workshop and Tutorial	Bürgermeister, Martina; Fellegi, Zsófia; Palkó, Gábor; Schneider, Gerlinde; Scholger, Martina; Steiner, Elisabeth; Vasold, Gunter	GAMS and Cirilo: research data preservation and presentation	research data; long-term preservation; presentation; repository; data management	archives, repositories, sustainability and preservation; metadata; data modeling and architecture including hypothesis-driven modeling; project design, organization, management; publishing and delivery systems; scholarly editing; knowledge representation; information architecture; xml; semantic web; standards and interoperability; English
594.xml	Poster	Malm, Mats; Westin, Jonathan; Lindhé, Cecilia; Lundin, Sverker; Claésson, Dick	Conjuring up the Artist from the Archives: Ivar Arosenius. Digitization and Coordination of Archives for Enhanced Accessibility and Research	Art; Artist; Archives; Platform; Reconstruction	archives, repositories, sustainability and preservation; art history; digitisation, resource creation, and discovery; cultural studies; cultural infrastructure; English
662.xml	Poster	Tyshkevich, Nataliya	Automatic quotation detection in Russian nonfiction texts	quotations; machine learning; intertextuality; Russian; SVM	natural language processing; software design and development; text analysis; content analysis; hypertext; linguistics; programming; genre-specific studies: prose, poetry, drama; data mining / text mining; English
620.xml	Short Paper	Casties, Robert	An Islamic Manuscript Database as a Network of Objects 	islamic manuscripts; network database; data modeling	archives, repositories, sustainability and preservation; classical studies; databases & dbms; historical studies; bibliographic methods / textual studies; networks, relationships, graphs; English
38.xml	Long Paper	Girard, Paul; Dedinger, Béatrice; Ricci, Donato; Ooghe-Tabanou, Benjamin; Jacomy, Mathieu; Plique, Guillaume; Tible, Grégory	RICardo Project : Exploring 19th Century International Trade 	trade history; exploratory data analysis; data uncertainty; information design; interaction design	historical studies; interface and user experience design; project design, organization, management; knowledge representation; information architecture; visualisation; spatio-temporal modeling, analysis and visualisation; French
428.xml	Poster	Svyatets, Yury Anatoliyovych	Ruthenian Metrica : technological aspects of the electronic publication	html; acts; law; Web-design	archives, repositories, sustainability and preservation; digitisation, resource creation, and discovery; text analysis; hypertext; crowdsourcing; linking and annotation; English
99.xml	Long Paper	Milligan, Ian; Lin, Jimmy; Wiebe, Jeremy; Zhou, Alice	Exploring and Discovering Archive-It Collections with Warcbase	web archives	archives, repositories, sustainability and preservation; historical studies; information retrieval; text analysis; internet / world wide web; data mining / text mining; English
450.xml	Short Paper	Morreale, Laura; Mundy, Barbara; O'Donnell, Thomas; Paul, Nicholas; Reilly, Brian; Brumfield, Ben	Collaborative Translation Using FromThePage	collaborative translation; textual communities	medieval studies; project design, organization, management; scholarly editing; french studies; interdisciplinary collaboration; translation studies; English; digital humanities - multilinguality
657.xml	Poster	Giannetti, Francesca; Kijas, Anna	A DH-Leavened Musicological Toolbox	bio-bibliography; libretto studies; musicology; digital methods; pedagogy	archives, repositories, sustainability and preservation; gender studies; music; french studies; italian studies; spanish and spanish american studies; GLAM: galleries, libraries, archives, museums; bibliographic methods / textual studies; digital humanities - pedagogy and curriculum; creative and performing arts, including writing; visualisation; spatio-temporal modeling, analysis and visualisation; data mining / text mining; English
188.xml	Long Paper	Can, Gulcan; Odobez, Jean-Marc; Pallan Gayol, Carlos; Gatica-Perez, Daniel	Ancient Maya Writings as High-Dimensional Data: a Visualization Approach 	Maya glyphs; t-SNE	archaeology; image processing; interdisciplinary collaboration; visualisation; English
37.xml	Pre-Conference Workshop and Tutorial	Thompson, Jeff	View Source: Reading the Hidden Texts of the Web	internet; reading; HTML; JavaScript	archives, repositories, sustainability and preservation; corpora and corpus activities; information retrieval; text analysis; internet / world wide web; concording and indexing; content analysis; hypertext; interdisciplinary collaboration; programming; cultural infrastructure; media studies; data mining / text mining; English
582.xml	Poster	Kermes, Hannah; Degaetano-Ortlieb, Stefania; Khamis, Ashraf; Knappen, Jörg; Teich, Elke	The Royal Society Corpus: Towards a high-quality corpus for studying diachronic variation in scientific writing 	digitization; resource creation; discovery	corpora and corpus activities; data modeling and architecture including hypothesis-driven modeling; text analysis; linguistics; data mining / text mining; English
235.xml	Short Paper	Grandjean, Martin	Archives Distant Reading: Mapping the Activity of the League of Nations’ Intellectual Cooperation	intellectual history; data visualization; social network analysis; archives; distant reading	archives, repositories, sustainability and preservation; historical studies; data modeling and architecture including hypothesis-driven modeling; knowledge representation; visualisation; networks, relationships, graphs; English
603.xml	Poster	Poublanc, Sébastien; Besson, Rémy	Agréger le passé en ligne: Euchronie, le passé ici et maintenant!	Past; history; Pressforward	archives, repositories, sustainability and preservation; historical studies; interdisciplinary collaboration; French
113.xml	Poster	Steiner, Elisabeth	EDM in Use: Collecting Metadata for a Regional Cultural Heritage Portal	metadata standard; data modelling; harvesting; cultural heritage	archives, repositories, sustainability and preservation; encoding - theory and practice; metadata; data modeling and architecture including hypothesis-driven modeling; project design, organization, management; GLAM: galleries, libraries, archives, museums; cultural infrastructure; standards and interoperability; English
474.xml	Long Paper	Alkhoven, Patricia; Stenvert, Ronald; Elpers, Sophie	Comparing Architectural Floor Plans: New Strategies New Digital Tools For Architectural Historians	architectural floor plans; pattern recognition; visualisation; floor plan analysis; digital architectural methods	art history; image processing; visualisation; English
167.xml	Short Paper	Sluijter, Ronald; Scherer, Marielle; Derks, Sebastiaan; Nijenhuis, Ida; Ravenek, Walter; Hoekstra, Rik	From Handwritten Text to Structured Data: Alternatives to Editing Large Archival Series	handwritten historical documents; metadata; text analysis; information retrieval	historical studies; information retrieval; metadata; scholarly editing; text analysis; content analysis; data mining / text mining; English; digital humanities - diversity
404.xml	Poster	Barbaresi, Adrien; Biber, Hanno	Extraction and Visualization of Toponyms in Diachronic Text Corpora 	Toponym Resolution; Visualization; Digital Literary Studies; German Literary History; Methodology	corpora and corpus activities; geospatial analysis, interfaces and technology; natural language processing; text analysis; content analysis; german studies; visualisation; English
528.xml	Short Paper	Eberle-Sinatra, Michael; Vitali-Rosati, Marcello; Beauchef, Hélène	"Le Futur Du Livre Électronique En Accès Libre : L’exemple De La Collection ""Parcours Numériques"""	digital publishing; open access	publishing and delivery systems; French
70.xml	Long Paper	Miranda, Ernesto	Representación De Otras Literaturas Mexicanas En Medios Digitales	codices; oralidad; prehispanico; mesoamerica; mexico	archives, repositories, sustainability and preservation; multilingual / multicultural approaches; digitisation, resource creation, and discovery; spanish and spanish american studies; anthropology; Spanish
152.xml	Poster	Handschuh, Siegfried; Donig, Simon; Koumpis, Adamantios; Diamond, Hanna	Documenting the pain: Sharing Second World War survivors’ stories to help meaning making and lessons learning through curating trans-European digital narrative trajectories	digital narrative trajectories; collective awareness platforms; (hi)story telling	archives, repositories, sustainability and preservation; natural language processing; interdisciplinary collaboration; folklore and oral history; cultural infrastructure; English
407.xml	Long Paper	Alves, Daniel	Geocoding Thousands of Fiscal Records: Methodological Approach for a Study on Urban Retail Trade in the Belle Époque	Geocoding; Historical GIS; Retail Trade; Urban History	geospatial analysis, interfaces and technology; historical studies; maps and mapping; English
521.xml	Poster	Beals, M. H.	Boutique Big Data: Reintegrating Close and Distant Reading of 19th-Century Newspapers	history; newspapers; reprinting; networks	corpora and corpus activities; historical studies; authorship attribution / authority; networks, relationships, graphs; media studies; data mining / text mining; English
239.xml	Long Paper	Galina Russell, Isabel; Priani Saisó, Ernesto	New DH Publishing Models and Geopolitical Diversity	Scholarly publishing; diversity; scholarly communication	digital humanities - institutional support; multilingual / multicultural approaches; publishing and delivery systems; English; digital humanities - diversity; digital humanities - multilinguality
213.xml	Poster	Fereday, Graham; Mullins, Michael; Webb, Richard; Stringer, Gary	3D Scanning for Preservation: Difficulties and Dissemination	surrogate; visualisation; 3D; cultural artefacts	archives, repositories, sustainability and preservation; visualisation; digitisation - theory and practice; English; 3D Printing
208.xml	Long Paper	Jewell, Andrew; Lorang, Elizabeth	Teaching Digital Humanities Through a Community-Engaged, Team-Based Pedagogy	service-learning; pedagogy; praxis; community engagement	teaching and pedagogy; interdisciplinary collaboration; digital humanities - pedagogy and curriculum; English
166.xml	Poster	Ciula, Arianna; Eide, Øyvind; Marras, Cristina; Sahle, Patrick	Modelling between Digital and Humanities: Thinking in Practice 	modelling; reasoning; signification; textuality; events	digital humanities - nature and significance; philosophy; knowledge representation; bibliographic methods / textual studies; cultural studies; agent modeling and simulation; English
667.xml	Long Paper	O'Sullivan, James; Shade, Michelle; Rowles, Ben	Player-Driven Content: Analysing Textual Communications in Online Roleplay	Roleplay; Gaming; Computational Analysis	games and meaningful play; English
381.xml	Short Paper	Ramsay, Stephen; Pytlik-Zillig, Brian	Picture to Score: Driving Vector Animations with Music in the XML Ecosystem	SVG; MusicXML	audio, video, multimedia; xml; standards and interoperability; English
495.xml	Poster	Daengeli, Peter; Theisen, Christian; Wieland, Magnus; Zumsteg, Simon	Visualizing the Gradual Production of a Text	genetic edition; visualization; digital edition; stemmatology	literary studies; text analysis; knowledge representation; philology; xml; visualisation; networks, relationships, graphs; English
51.xml	Long Paper	Wolff, Mark	Oulipian Stylometry	stylometry; oulipo; queneau; matrix; classification	corpora and corpus activities; data modeling and architecture including hypothesis-driven modeling; stylistics and stylometry; text analysis; french studies; authorship attribution / authority; history of Humanities Computing/Digital Humanities; English
197.xml	Long Paper	Pitti, Daniel; Martin, Worthy	Social Networks and Archival Context: People and Cultural Heritage	cultural heritage description access social networks	archives, repositories, sustainability and preservation; digitisation, resource creation, and discovery; networks, relationships, graphs; agent modeling and simulation; English
447.xml	Poster	Goins, Elizabeth; Egert, Christopher; Phelps, Adnrew	The Garden: A 3D Adventure Puzzle Game Exploring Bosch’s Garden of Earthly Delights	digital heritage; serious game; humanities game design; digital humaities games	art history; games and meaningful play; English
427.xml	Poster	Klinger, Roman; Suliya, Surayya Samat; Reiter, Nils	Automatic Emotion Detection for Quantitative Literary Studies * A case study based on Franz Kafka’s “Das Schloss” und “Amerika”	emotion analysis; text mining; dictionaries	literary studies; natural language processing; semantic analysis; content analysis; data mining / text mining; English
319.xml	Long Paper	Suomela, Todd; Rockwell, Geoffrey; Chartier, Ryan	Curating Just-In-Time Datasets from the Web	web archiving; science and technology studies	archives, repositories, sustainability and preservation; corpora and corpus activities; digitisation, resource creation, and discovery; internet / world wide web; content analysis; social media; English
185.xml	Poster	Yang, Bin; Mainardi, Chiara; Ganascia, Jean-Gabriel	Browsing, Sharing, Learning and Reviewing the Haine du théâtre Corpus through Insightful Island	Information Visualization; Visualization System; Text and Document Visualization; Memory Island; Haine du théâtre.	interface and user experience design; knowledge representation; french studies; interdisciplinary collaboration; visualisation; English
666.xml	Short Paper	Gawley, James O'Brien; Diddams, A. Caitlin	Big Data and the Study of Allusion: an Exploration of Tesserae's Multitext Capability	intertextuality; literary studies; big data	classical studies; corpora and corpus activities; literary studies; text analysis; digital humanities - pedagogy and curriculum; data mining / text mining; English
430.xml	Poster	Bolioli, Andrea; Tasso, Riccardo	Collaborative Annotation and Exploration of Literary Works in Learning Contexts	collaborative annotation; SNA; maps; literature; user experience	corpora and corpus activities; interface and user experience design; teaching and pedagogy; ontologies; publishing and delivery systems; semantic analysis; software design and development; text analysis; user studies / user needs; xml; concording and indexing; visualisation; mobile applications and mobile design; semantic web; maps and mapping; linking and annotation; standards and interoperability; data mining / text mining; English
243.xml	Long Paper	Clement, Tanya; McLaughlin, Steve; Tcheng, David; Auvil, Loretta; Borries, Tony	ARLO (Adaptive Recognition with Layered Optimization): a Prototype for High Performance Analysis of Sound Collections in the Humanities	Audio user interfaces; data mining; machine learning; infrastructure development; Sound studies	archives, repositories, sustainability and preservation; audio, video, multimedia; data mining / text mining; English
399.xml	Poster	Kleppe, Martijn; Desmond, Elliott	1 Million Dutch Newspaper Images available for researchers: The KBK-1M Dataset	photographs; newspapers; open data; Visual Big Data	art history; historical studies; GLAM: galleries, libraries, archives, museums; media studies; English
359.xml	Long Paper	Page, Kevin; Nurmikko-Fuller, Terhi; Rindfleisch, Carolin; Weigl, David	Digital Annotation Tooling for Opera Performance Studies 	musicology; performance studies; multimedia; annotation	audio, video, multimedia; digitisation, resource creation, and discovery; software design and development; content analysis; hypertext; interdisciplinary collaboration; creative and performing arts, including writing; English
12.xml	Long Paper	Ciotti, Fabio	What's in a Topic Model I fondamenti del text mining negli studi letterari	Topic Model; Text Mining; Distant Reading; Literary Criticism; Theory of Literature; Computational Text Analysis	corpora and corpus activities; literary studies; stylistics and stylometry; text analysis; concording and indexing; content analysis; cultural studies; data mining / text mining; Italian
437.xml	Short Paper	Williams, Geoffrey Clive	Tackling Terms In Furetiere’s 'Dictionnaire Universel'	Historical lexicography; CAQDAS; TEI markup	encoding - theory and practice; lexicography; french studies; xml; digitisation - theory and practice; English
563.xml	Poster	Kijas, Anna Ewelina	The Encoded Medieval Antiphoner: an Open Access Digital Source for Music and Liturgical Pedagogy and Scholarship	MEI	archives, repositories, sustainability and preservation; image processing; encoding - theory and practice; information retrieval; interface and user experience design; medieval studies; metadata; music; project design, organization, management; other; xml; creative and performing arts, including writing; standards and interoperability; English
140.xml	Long Paper	Richards-Rissetto, Heather	An Iterative 3DGIS Analysis of the Role of Visibility in Ancient Landscapes	GIS; Mesoamerica; 3D Visualization; Visibility Analysis; Landscape Archaeology	archaeology; archives, repositories, sustainability and preservation; databases & dbms; geospatial analysis, interfaces and technology; virtual and augmented reality; games and meaningful play; digital humanities - pedagogy and curriculum; visualisation; maps and mapping; standards and interoperability; English
534.xml	Poster	Athanassopoulos, Effie F.; Pattee, Aaron	Documenting Material Culture: 3D Laser Scanning, Photogrammetry and Archaeological Ceramics from Lincoln Pottery Works	3D modeling; Ceramics; Nebraska; Archaeology; 19th Century	archaeology; archives, repositories, sustainability and preservation; image processing; digitisation, resource creation, and discovery; English
470.xml	Poster	Akca, Sumeyye; Akbulut, Muge	Content Based Social Network Analysis of Reşat Nuri Güntekin's Letters	Content based social network analysis; SNA; Content Analysis; Proximity-based Method; Rule-based Method; Monte Carlo Approach	content analysis; networks, relationships, graphs; English
377.xml	Short Paper	Neuber, Frederike	Stefan George Digital: Exploring Typography In A Digital Scholarly Edition 	typography; book history; writing; modeling; materiality	encoding - theory and practice; literary studies; scholarly editing; bibliographic methods / textual studies; german studies; English
292.xml	Poster	Fuss, Ulrike Valeria; Pistor, Christian; Thomas, Werner; Esponda de la Campa, Cesar; Behiels, Lieve; Manrique Figueroa, Cesar	The Southern Netherlands and the Infrastructure of Early Modern Globalisation (1500-1800)	book history	historical studies; publishing and delivery systems; spanish and spanish american studies; bibliographic methods / textual studies; cultural studies; translation studies; cultural infrastructure; English
288.xml	Short Paper	Jacobs, Hannah L.	Wired!: Collaborative Teaching & Critical Digital Making In An Art History Classroom	Art History; Collaborative Teaching; Digital Pedagogy; Spatiotemporal Narratives; Historic Reconstruction	art history; geospatial analysis, interfaces and technology; historical studies; teaching and pedagogy; virtual and augmented reality; knowledge representation; interdisciplinary collaboration; digital humanities - pedagogy and curriculum; visualisation; maps and mapping; English
264.xml	Short Paper	Schelstraete, Jasper; Chambers, Sally; Van Remoortel, Marianne	Mapping European Periodical Counterpublics: Building a Sustainable Collaborative Framework for European Periodical Studies	European Periodical Studies; Women Editors; Socio-cultural change; Digital Humanities; DARIAH Digital Research Infrastructure for the Arts and Humanities	archives, repositories, sustainability and preservation; databases & dbms; gender studies; geospatial analysis, interfaces and technology; digital humanities - institutional support; literary studies; data modeling and architecture including hypothesis-driven modeling; multilingual / multicultural approaches; bibliographic methods / textual studies; crowdsourcing; spatio-temporal modeling, analysis and visualisation; English; digital humanities - multilinguality
186.xml	Long Paper	Rosenthaler, Lukas; Immenhauser, Beat; Fornaro, Peter	Implementation of a National Data Center for the Humanities (DaSCH)	data center; semantic web	archives, repositories, sustainability and preservation; databases & dbms; digital humanities - institutional support; publishing and delivery systems; information architecture; internet / world wide web; digital humanities - facilities; semantic web; linking and annotation; standards and interoperability; English
418.xml	Poster	Roberts, Ben; Webb, Alban; Berriman, Liam; Webb, Sharon; Baker, James; Fazi, Beatrice; Robertson, Andrew; Jackson, Ben; Pay, Jack; Wibberley, Simon; Kiefer, Chris	Sussex Humanities Lab - Emotion, Automation and Sonic Socialities 	Automatiion Emotion Tagging Sonic Socialities	audio, video, multimedia; information retrieval; music; philosophy; speech processing; cultural studies; English
136.xml	Short Paper	Smith, David Neel; Lindeborg, Sephanie	Comparing Digital Scholarly Editions 	scholarly editing; distant reading; iliad; canonical citation	classical studies; medieval studies; scholarly editing; text analysis; content analysis; cultural infrastructure; data mining / text mining; English
