	authors	category	filename	keywords	subcategory	title	topics
152	Medek, André; Ritter, Jörg; Molitor, Paul; Kösser, Sylwia	Paper	MEDEK_Andr__Interactive_Similarity_Analysis_of_Early_Ne.xml	genetic edition; manuscript; text comparison; visualization; early new high german	Long Paper	Interactive Similarity Analysis of Early New High German Text Variants	corpora and corpus activities; encoding - theory and practice; lexicography; software design and development; text analysis; programming; german studies; visualisation; linking and annotation; English
153	Hodgson, Justin	Paper	HODGSON_Justin_Mapping_the_Contours_of_the_New_Aestheti.xml	New Aesthetic; Digital Rhetoric; Eversion; hyperrhetoricity; hypermedia	Long Paper	Mapping the Contours of the New Aesthetic, Opening Considerations for Digital Rhetoric	digital humanities - nature and significance; other; cultural studies; media studies; English
154	Davidson, Alwyn; Burrows, Toby	Paper	DAVIDSON_Alwyn_HuNI__Building_and_Linking_Research_Coll.xml	linked data; collaboration; open knowledge; virtual collection	Pre-Conference Workshop and Tutorial (Round 2)	HuNI: Building and Linking Research Collections Online	information retrieval; cultural infrastructure; linking and annotation; English
155	Würsch, Marcel; Ingold, Rolf; Liwicki, Marcus	Paper	W_RSCH_Marcel_DIVAServices___A_RESTful_Web_Service_for_.xml	web services; document image analysis	Short Paper	DIVAServices – A RESTful Web Service for Document Image Analysis Methods	image processing; information architecture; internet / world wide web; programming; English
156	Quamen, Harvey; Bouchard, Matt; Keenan, Andrew	Paper	QUAMEN_Harvey__On_the_Clock___Grading_the_NFL_Draft_Pun.xml	popular culture; sports; sabermetrics; data visualization; football	Poster	"""On the Clock"": Grading the NFL Draft Pundits"	other; games and meaningful play; cultural studies; visualisation; media studies; data mining / text mining; English
157	Berghold, Jared; Ross, Shawn; Sobotkova, Adela; Crook, Penny; Ballsun-Stanton, Brian	Paper	BERGHOLD_Jared_FAIMS_Mobile_Platform__Collecting_Fieldw.xml	fieldwork; mobile; FAIMS; archaeology; Android	Pre-Conference Workshop and Tutorial (Round 2)	FAIMS Mobile Platform: Collecting Fieldwork Data with FAIMS	archaeology; geospatial analysis; interfaces and technology; digitisation - theory and practice; mobile applications and mobile design; maps and mapping; spatio-temporal modeling; analysis and visualisation; English
158	Whitson, Roger Todd	Paper	WHITSON_Roger_Todd_Steampunk_and_Nineteenth_Century_Dig.xml	maker culture; steampunk; speculative design	Poster	Steampunk and Nineteenth-Century Digital Humanities	historical studies; literary studies; interdisciplinary collaboration; programming; english studies; social media; media studies; English
159	Biddala, Sandeep Reddy; Singh, Navjyoti	Paper	BIDDALA_Sandeep_Reddy_Hypergraph_Based_Collaborative_Fi.xml	CinemaScope; Hypergraph; Cinema; Data Model; Annotation.	Long Paper	Hypergraph Based Collaborative Film Archive	archives; repositories; sustainability and preservation; audio; video; multimedia; film and cinema studies; metadata; data modeling and architecture including hypothesis-driven modeling; ontologies; knowledge representation; crowdsourcing; English
160	Jett, Jacob; Senseney, Megan; Maden, Chris; Fallaw, Colleen; Downie, J. Stephen	Paper	JETT_Jacob_Prototyping_A_Workset_Builder_Using_Semantic.xml	data modeling; HathiTrust corpus; RDF; semantic technologies; triple store	Poster	Prototyping A Workset Builder Using Semantic Technologies	corpora and corpus activities; data modeling and architecture including hypothesis-driven modeling; semantic analysis; information architecture; digital humanities - facilities; networks; relationships; graphs; English
161	Bandari, Roja; Tangherlini, Timothy Roland; Roychowdhury, Vwani	Paper	TANGHERLINI_Timothy_Roland_What_Do_You_Do_With_A_Millio.xml	reader response; plot; machine learning; crowd sourcing	Short Paper	What Do You Do With A Million Readers?	literary studies; natural language processing; text analysis; content analysis; crowdsourcing; data mining / text mining; English
162	Trescak, Tomas; Williams, Melissa; Sloan, Terry; Bogdanovych, Anton; Simoff, Simeon	Paper	TRESCAK_Tomas_The_Aboriginal_Dreaming_meets_Virtual_Rea.xml	Aboriginal; Indigenous; 3D; Simulation; Virtual Reality	Long Paper	The Aboriginal Dreaming meets Virtual Reality	audio; video; multimedia; historical studies; interdisciplinary collaboration; cultural studies; visualisation; social media; digitisation - theory and practice; anthropology; agent modeling and simulation; English
163	Barns, Sarah	Paper	BARNS_Sarah_Uncanny_Projections___Site_Writing_Places.xml	projection; digital interfaces; site-writing; community; public art	Long Paper	Uncanny Projections / Site-Writing Places	archaeology; archives; repositories; sustainability and preservation; audio; video; multimedia; film and cinema studies; GLAM: galleries; libraries; archives; museums; English
164	Martinez, Merisa Ariel; Kelly, Aodhán; Powell, Daniel	Paper	MARTINEZ_Merisa_Ariel_Digitisation__Processing__Dissemi.xml	digital scholarly editing; textual criticism; critical digitization; publication and dissemination	Long Paper	Digitisation, Processing, Dissemination: Charting the Ecology of the New Scholarly Edition	publishing and delivery systems; digitisation; resource creation; and discovery; scholarly editing; text analysis; bibliographic methods / textual studies; crowdsourcing; digitisation - theory and practice; English
165	Heuser, Ryan; Algee-Hewitt, Mark; Tran, Van; Lockhart, Annalise; Steiner, Erik	Paper	HEUSER_Ryan_James_Mapping_the_Emotions_of_London_in_Fic.xml	geography; affect; London; fiction; space	Long Paper	Mapping the Emotions of London in Fiction, 1700-1900: A Crowdsourcing Experiment	geospatial analysis; interfaces and technology; literary studies; text analysis; english studies; visualisation; crowdsourcing; spatio-temporal modeling; analysis and visualisation; English
166	Roe, Glenn; Abdul-Rahman, Alfie; Chen, Min; Gladstone, Clovis; Morrissey, Robert; Olsen, Mark	Paper	ROE_Glenn_H_Visualizing_Text_Alignments__Image_Processi.xml	Sequence Alignment; Text Reuse; Visual Analytics	Long Paper	Visualizing Text Alignments: Image Processing Techniques for Locating 18th-Century Commonplaces	image processing; literary studies; content analysis; visualisation; data mining / text mining; English
167	Haentjens Dekker, Ronald; Andrews, Tara L.; Birnbaum, David J.; Olsson, Leif-Jöran; van Zundert, Joris J.	Paper	HAENTJENS_DEKKER_Ronald_Computer_Supported_Collation_Wi.xml	collation; xml; programming; text comparison; python	Pre-Conference Workshop and Tutorial (Round 2)	Computer Supported Collation With CollateX	literary studies; scholarly editing; text analysis; philology; xml; programming; English
168	Gray, Steven James; Terras, Melissa; Ammann, Rudolf; Hudson-Smith, Andrew	Paper	GRAY_Steven_Textal__Unstructured_Text_Analysis_Workflow.xml	text analysis; mobile; visualisation; word cloud; interaction	Long Paper	Textal: Unstructured Text Analysis Workflows Through Interactive Smartphone Visualisations	text analysis; internet / world wide web; visualisation; crowdsourcing; mobile applications and mobile design; data mining / text mining; English
169	Kilner, Kerry; Fitch, Kent	Paper	KILNER_Kerry_Discovering_and_Rediscovering_Full_Text__U.xml	Corpus building; text mining; Australian literature	Short Paper	Discovering and Rediscovering Full Text: Unearthing and Refactoring	archives; repositories; sustainability and preservation; corpora and corpus activities; databases & dbms; image processing; information retrieval; lexicography; literary studies; natural language processing; text analysis; content analysis; digital humanities - facilities; bibliographic methods / textual studies; machine translation; programming; english studies; cultural infrastructure; data mining / text mining; English
170	Parker, Matthew; Khosmood, Foaad; Pickett, Grant	Paper	KHOSMOOD_Foaad_Game_of_Thrones_for_All__Model_based_Gen.xml	games; interactive fiction; non-player characters; immersion	Long Paper	Game of Thrones for All: Model-based Generation of Universe-appropriate Fictional Characters	natural language processing; games and meaningful play; agent modeling and simulation; English
171	Mouritsen, Henrik; Bradley, John; Rathbone, Dominic; Robb, Maggie	Paper	BRADLEY_John_DPRR__Digitizing_the_Prosopography_of_the_.xml	Roman Republic; structured prosopography; linked data	Poster	DPRR: Digitizing the Prosopography of the Roman Republic	classical studies; databases & dbms; historical studies; semantic web; English
172	Peters, Nonja Ivonne; Ensor, Jason Donald	Paper	PETERS_Nonja_Ivonne_Developing_a_Sustainable_Model_in_M.xml	Dutch-Australia; Mutual Cultural Heritage; Digital Preservation	Short Paper	Developing a Sustainable Model in Mutual Cultural Digital Heritage	archives; repositories; sustainability and preservation; historical studies; digitisation; resource creation; and discovery; GLAM: galleries; libraries; archives; museums; cultural studies; cultural infrastructure; English
173	Pattuelli, M. Cristina; Miller, Matthew; Hwang, Karen	Paper	PATTUELLI_M__Cristina_Accidental_Discovery__Intentional.xml	Linked Open Data; Digital Archives; Gender Studies; Jazz History; Knowledge Representation	Short Paper	Accidental Discovery, Intentional Inquiry: Leveraging Linked Data to Uncover the Women of Jazz	archives; repositories; sustainability and preservation; art history; encoding - theory and practice; gender studies; metadata; data modeling and architecture including hypothesis-driven modeling; music; ontologies; philosophy; digitisation; resource creation; and discovery; semantic analysis; knowledge representation; GLAM: galleries; libraries; archives; museums; programming; creative and performing arts; including writing; cultural studies; visualisation; crowdsourcing; digitisation - theory and practice; cultural infrastructure; semantic web; networks; relationships; graphs; spatio-temporal modeling; analysis and visualisation; linking and annotation; English
174	Palmer, Zachary Selman; Rockwell, Geoffrey; Ruecker, Stan; Montague, John; Frizzera, Luciano; Gil, Alex; O'Donnell, Daniel	Paper	PALMER_Zachary_Selman_The_DH_Experience.xml	game theory; interdisciplinarity; global DH; collaboration	Long Paper	The DH Experience	digital humanities - nature and significance; digital humanities - institutional support; games and meaningful play; interdisciplinary collaboration; visualisation; English
175	ICHIMURA, Taro; WATANABE, Yuki; KONO, Tomoaki; OGISO, Toshinobu	Paper	ICHIMURA_Taro_Construction_of_the_Corpus_of_Toraakira_b.xml	historical corpus; Late Middle Japanese; Noh comedy	Poster	Construction of the Corpus of Toraakira-bon Kyōgen	corpora and corpus activities; English
176	Liu, Jyi-Shane; Ning, Ke-Chi; Huang, Tze-Jung	Paper	LIU_Jyi_Shane_A_Study_of_Symbolic_Element_Network_in_Na.xml	social network analysis application; sybolism; similarity and divergence	Long Paper	A Study of Symbolic Element Network in National Emblems	content analysis; anthropology; networks; relationships; graphs; linking and annotation; data mining / text mining; English
177	Sato, Takafumi; Goto, Makoto; Kimura, Fuminori; Maeda, Akira	Paper	SATO_Takafumi_Extracting_Key_Phrases_for_Suggesting_Ann.xml	Annotation Suggestion; Historical Documents; Web-based System; Machine Learning	Poster	Extracting Key Phrases for Suggesting Annotation Candidates from Japanese Historical Document	natural language processing; text analysis; linking and annotation; data mining / text mining; English
178	Eggert, Paul R; Schmidt, Desmond Allan	Paper	EGGERT_Paul_R_The_Harpur_Critical_Archive.xml	Charles Harpur; scholarly edition; critical archive; MVD; AustESE	Long Paper	The Harpur Critical Archive	literary studies; publishing and delivery systems; scholarly editing; English
179	Balk, Hildelies; Wilms, Lotte	Paper	WILMS_Lotte_Bridging_the_Gap_between_the_National_Libra.xml	embedded researcher; national library; koninklijke bibliotheek; young researchers	Long Paper	Bridging the Gap between the National Library and the Researchers	digital humanities - institutional support; user studies / user needs; digital humanities - facilities; interdisciplinary collaboration; English
180	Thieberger, Nick; Tuohy, Conal	Paper	THIEBERGER_Nick_Encoding_Vocabularies_of_Australian_Ind.xml	Aboriginal languages; TEI; manuscript	Short Paper	Encoding Vocabularies of Australian Indigenous Languages	corpora and corpus activities; encoding - theory and practice; lexicography; digitisation; resource creation; and discovery; linguistics; English
181	Richards, Kate E.S	Paper	RICHARDS_Kate_E_S_Grove___Creating_An_Ecology_of_Flows.xml	affect; affordance; media arts; heterotopia; ecology; immersive	Long Paper	Grove - Creating An Ecology of Flows	audio; video; multimedia; interface and user experience design; English
182	Melanie-Becquet, Frederique; Ferguth, Johan; Gruel, Katherine; Poibeau, Thierry	Paper	POIBEAU_Thierry_Archaeology_in_the_Digital_Age__From_Pa.xml	Archaeology; information extraction; databases	Poster	Archaeology in the Digital Age: From Paper to Databases	archaeology; archives; repositories; sustainability and preservation; metadata; natural language processing; ontologies; semantic analysis; text analysis; knowledge representation; internet / world wide web; content analysis; digitisation - theory and practice; English
183	Tait, David; Gelb, Karen	Paper	TAIT_David_Digital_Evidence_in_the_Jury_Room__the_Impac.xml	Tablets Deliberation Collaboration Display software	Short Paper	Digital Evidence in the Jury Room: the Impact of Tablets on Communication and Decision	audio; video; multimedia; digitisation; resource creation; and discovery; interdisciplinary collaboration; mobile applications and mobile design; English
184	Nagasaki, Kiyonori; Hackett, Paul; Muller, A. Charles; Tomabechi, Toru; Shimoda, Masahiro	Paper	NAGASAKI_Kiyonori_Significance_of_Linking_between_past_.xml	Buddhist studies; interoperability; image database; Tibetan Buddhism; Chinese Buddhism	Long Paper	Significance of Linking between past and present, east and west, and various databases	digitisation; resource creation; and discovery; asian studies; cultural infrastructure; linking and annotation; English
185	Wang, Xundong; Zhou, Peter; Wang, Eugene; Downie, J. Stephen	Paper	DOWNIE_J__Stephen_Digital_Dunhuang__Enhancing_Virtual_E.xml	Dunhuang; Silk Road; digitization	Panel / Multiple Paper Session	Digital Dunhuang: Enhancing Virtual Explorations of the Real Dunhuang	archaeology; art history; medieval studies; digitisation; resource creation; and discovery; virtual and augmented reality; asian studies; digital humanities - facilities; visualisation; cultural infrastructure; spatio-temporal modeling; analysis and visualisation; English
186	Hoover, David L.	Paper	HOOVER_David_L__Rare_N_Grams__Victorian_Drama__and_Auth.xml	n-grams; authorship attribution; Victorian drama	Long Paper	Rare N-Grams, Victorian Drama, and Authorship Attribution	corpora and corpus activities; literary studies; stylistics and stylometry; text analysis; authorship attribution / authority; genre-specific studies: prose; poetry; drama; english studies; English
187	Mellick Lopes, Abby; Gill, Alison	Paper	GILL_Alison_A_Story_of_Design_Research__Initiating_a_ch.xml	design; research; network; community; Western Sydney.	Poster	A Story of Design Research: Initiating a change network for Western Sydney	interdisciplinary collaboration; creative and performing arts; including writing; English
188	Buntinx, Vincent; Kaplan, Frédéric	Paper	BUNTINX_Vincent_Christian_Inversed_N_gram_viewer__Searc.xml	inversed n-gram viewer; n-gram viewer; temporal profiles; words frequencies; curves fitting	Long Paper	Inversed N-gram viewer: Searching the space of word temporal profiles	corpora and corpus activities; information retrieval; natural language processing; semantic analysis; text analysis; linguistics; media studies; data mining / text mining; English
189	Wikstrom, Patrik	Paper	WIKSTROM_Patrik_Local_Music_Repertoire_and_the_Digitiza.xml	music industry; cultural diversity; digitization	Long Paper	Local Music Repertoire and the Digitization of the International Music Industry: An Empirical Analysis, 1994 - 2013	music; digitisation - theory and practice; media studies; English
190	Antonijevic, Smiljana	Paper	ANTONIJEVIC_Smiljana_Organizational_Practices_in_Digita.xml	digtial humanities centers; organizational practices; ethnographic study	Long Paper	Organizational Practices in Digital Humanities Centers	archives; repositories; sustainability and preservation; digital humanities - nature and significance; digital humanities - institutional support; interface and user experience design; project design; organization; management; user studies / user needs; knowledge representation; internet / world wide web; digital humanities - facilities; interdisciplinary collaboration; digital humanities - pedagogy and curriculum; cultural studies; social media; crowdsourcing; history of Humanities Computing/Digital Humanities; anthropology; media studies; English; rhetorical studies
191	Schmunk, Stefan; Funk, Stefan; Grupe, Nadja	Paper	SCHMUNK_Stefan_DARIAH_DE__Building_a_Distributed_Resear.xml	Research Infrastructure; Digital Humanities; Repository	Poster	DARIAH-DE: Building a Distributed Research Data Repository for a Digital Humanities Network	data modeling and architecture including hypothesis-driven modeling; information architecture; English
192	Simpson, John; Brown, Susan; Smith Elford, Jana; Murphy, Shawn; Brundin, Michael; Warren, Robert	Paper	SIMPSON_John_Edward_Building_Better_Linked_Data___Ontol.xml	Visualization; Linked Data; Semantic Web; Ontologies; Tools	Long Paper	Building Better Linked Data & Ontology Visualization Tools	interface and user experience design; data modeling and architecture including hypothesis-driven modeling; ontologies; software design and development; knowledge representation; internet / world wide web; visualisation; semantic web; networks; relationships; graphs; data mining / text mining; English
193	Allison-Cassin, Stacy; Suhonos, MJ; Ruest, Nick; St. Onge, Anna	Paper	ALLISON_CASSIN_Stacy_Sounding_it_Out__The_Mariposa_Folk.xml	linked open data; music; metadata; archives	Short Paper	Sounding it Out: The Mariposa Folk Festival and a Linked Open Data Digital Library Prototype	information retrieval; metadata; data modeling and architecture including hypothesis-driven modeling; music; knowledge representation; GLAM: galleries; libraries; archives; museums; semantic web; standards and interoperability; English
194	Lester, Connie Lee	Paper	LESTER_Connie_Lee_Using_Multiple_Strategies_To_Find_Con.xml	Archives; Sensemaking; Connections; Interdisciplinary; Visualization	Long Paper	Using Multiple Strategies To Find Connections In Digital Archives: Making Sense of Historical Data	databases & dbms; historical studies; metadata; natural language processing; interdisciplinary collaboration; visualisation; spatio-temporal modeling; analysis and visualisation; English
195	Yamada, Taizo; Inoue, Satoshi	Paper	YAMADA_Taizo_Detection_of_People_Relationship_Using_Top.xml	Japanese history; LDA; Topic model	Poster	Detection of People Relationship Using Topic Model from Diaries in Medieval Period of Japan	historical studies; text analysis; data mining / text mining; English
196	Rockwell, Geoffrey; Sinclair, Stéfan	Paper	ROCKWELL_Geoffrey_Talking_About_Programming_in_the_DIgi.xml	History of DH; Programming; DH Courses	Long Paper	Talking About Programming in the DIgital Humanities	programming; history of Humanities Computing/Digital Humanities; English
197	Mazzini, Silvia; Brazzo, Laura	Paper	MAZZINI_Silvia_From_the_Holocaust_Victims_Names_to_the_.xml	holocaust; names; LOD; digital library; ontology	Long Paper	From the Holocaust Victims Names to the Description of the Persecution of the European Jews in Nazi Years: the Linked Data Approch and a New Domain Ontology. The Italian Pilot Project.	archives; repositories; sustainability and preservation; historical studies; ontologies; digitisation; resource creation; and discovery; internet / world wide web; GLAM: galleries; libraries; archives; museums; semantic web; Italian
198	Hollis, Luke Robert	Paper	HOLLIS_Luke_Robert_Segetes__a_Digital_Initiative_in_Dis.xml	Text analytics; Information engineering; Augustan-era Latin poetry; Open source; RESTful web services	Poster	Segetes: a Digital Initiative in Discovering and Simplifying Access to Open Source Metadata for Vergil’s Works	archives; repositories; sustainability and preservation; classical studies; databases & dbms; metadata; natural language processing; semantic analysis; text analysis; programming; visualisation; linking and annotation; data mining / text mining; English
199	Padilla, Thomas George; Smiley, Bobby; Miller, Sara; Mooney, Hailey	Paper	PADILLA_Thomas_George_Modeling_Approaches_to_Library_le.xml	pedagogy; libraries; data literacy; humanities data; information literacy	Short Paper	Modeling Approaches to Library-led DH Pedagogy	digital humanities - institutional support; teaching and pedagogy; interdisciplinary collaboration; digital humanities - pedagogy and curriculum; English
200	Downing, Laura Kathryn; Lawless, Séamus	Paper	DOWNING_Laura_Kathryn_A_Closer_Look__Developing_Mobile_.xml	art; mobile applications; museums; learning; Bulgaria	Long Paper	A Closer Look: Developing Mobile Applications to Reveal Hidden Meanings of Art	art history; digitisation; resource creation; and discovery; GLAM: galleries; libraries; archives; museums; mobile applications and mobile design; English
201	Bow, Cathy	Paper	BOW_Cathy_Bringing_to_life_the_Living_Archive_of_Aborig.xml	Indigenous; languages; archive; engagement	Short Paper	Bringing to life the Living Archive of Aboriginal Languages	archives; repositories; sustainability and preservation; digitisation; resource creation; and discovery; linguistics; copyright; licensing; and Open Access; English
202	Wrisley, David Joseph; Weimer, Katherine; Grossner, Karl	Paper	WRISLEY_David_Joseph_Exploring_Peer_Review_in_the_GeoHu.xml	GeoHumanities; Peer Review	Pre-Conference Workshop and Tutorial (Round 2)	Exploring Peer Review in the GeoHumanities	geospatial analysis; interfaces and technology; maps and mapping; English
203	Gluzman, Georgina Gabriela	Paper	GLUZMAN_Georgina_Gabriela_Feminism_and_the_digital__tow.xml	database; women artists; Latin America	Short Paper	Feminism and the digital: towards a database of Argentine women artists	art history; gender studies; English
204	Wei, Hao; Chen, Kai; Seuret, Mathias; Würsch, Marcel; Liwicki, Marcus; Ingold, Rolf	Paper	WEI_Hao_DIVADIAWI___A_Web_based_Interface_for_Semi_auto.xml	Historical document images; web interface; semi-automatic labeling	Long Paper	DIVADIAWI - A Web-based Interface for Semi-automatic Labeling of Historical Document Images	image processing; historical studies; interface and user experience design; xml; internet / world wide web; visualisation; English
205	McDonald, Jarom Lyle; Rudy, Jill Terry	Paper	MCDONALD_Jarom_Lyle_At_the_Crossroads_of_Data_and_Wonde.xml	intermedial fairy tales; television; algorithmic criticism	Short Paper	At the Crossroads of Data and Wonder: Algorithmic Approaches to Fairy Tales on Television	audio; video; multimedia; folklore and oral history; media studies; English
206	Pierazzo, Elena; Stokes, Peter Anthony	Paper	PIERAZZO_Elena_An_Introduction_to_Digital_Manuscript_St.xml	manuscript studies; digital editing; palaeography; codicology; cataloguing	Pre-Conference Workshop and Tutorial (Round 2)	An Introduction to Digital Manuscript Studies	encoding - theory and practice; medieval studies; scholarly editing; digitisation - theory and practice; English
207	Jenstad, Janelle Auriol; McLean-Fiander, Kim; Newton, Greg; Holmes, Martin	Paper	JENSTAD_Janelle_Auriol_How_To_Edit_a_Map_in_TEI.xml	TEI; editing; maps; graphics; collation	Long Paper	How To Edit a Map in TEI	encoding - theory and practice; geospatial analysis; interfaces and technology; scholarly editing; bibliographic methods / textual studies; renaissance studies; maps and mapping; English
208	Lemos Morais, Renata	Paper	LEMOS_MORAIS_Renata_Data_Aesthetics__Old_and_New_.xml	new aesthetic; data aesthetic; network culture	Long Paper	Data Aesthetics, Old and New.	internet / world wide web; cultural studies; media studies; English
209	Stokes, Peter Anthony	Paper	STOKES_Peter_Anthony_The_Problem_of_Digital_Dating__A_M.xml	manuscript studies; diplomatics; palaeography; modelling	Long Paper	The Problem of Digital Dating: A Model for Uncertainty in Medieval Documents	historical studies; medieval studies; English
210	Wittek, Stephen; Sinclair, Stéfan; Milner, Matthew	Paper	WITTEK_Stephen_DREaM__Distant_Reading_Early_Modernity.xml	early modern; eebo; voyant; topic modeling; distant reading	Short Paper	DREaM: Distant Reading Early Modernity	archives; repositories; sustainability and preservation; corpora and corpus activities; literary studies; content analysis; bibliographic methods / textual studies; interdisciplinary collaboration; digital humanities - pedagogy and curriculum; english studies; renaissance studies; media studies; data mining / text mining; English
211	Notley, Tanya; Reading, Anna	Paper	NOTLEY_Tanya_Server_Factories_and_Memory_Mediators.xml	server farms; digital memory; materiality; digital media; globital memory	Short Paper	Server Factories and Memory Mediators	digital humanities - nature and significance; anthropology; media studies; English
212	Thorne-Murphy, Leslee; Browne, Jeremy	Paper	BROWNE_Jeremy_Digitizing_Slow_and_Deliberate__The_Victo.xml	Victorian; Short Fiction; Wiki; Undergraduate; Pedagogy	Short Paper	Digitizing Slow and Deliberate: The Victorian Short Fiction Project	teaching and pedagogy; digital humanities - pedagogy and curriculum; english studies; digitisation - theory and practice; English
213	Bol, Peter; Liu, Chao-Lin; Wang, Hongsu	Paper	LIU_Chao_Lin_Mining_and_Discovering_Biographical_Inform.xml	China Biographical Data; Chinese Language Processing; Grammar Induction; Information Extraction	Short Paper	Mining and Discovering Biographical Information in Difangzhi with a Language-Model-based Approach	historical studies; text analysis; asian studies; English
214	THOMSON, ALISTAIR; BRADLEY, KEVIN	Paper	THOMSON_ALISTAIR_Making_Digital_Aural_History.xml	oral history; interviews; archives; database; orality	Long Paper	Making Digital Aural History	archives; repositories; sustainability and preservation; audio; video; multimedia; historical studies; digitisation; resource creation; and discovery; GLAM: galleries; libraries; archives; museums; folklore and oral history; data mining / text mining; English
215	Heiden, Serge	Paper	HEIDEN_Serge_Progressive_philology_with_TXM__from__raw_.xml	xml; tei; txm; open-source; text analysis	Long Paper	Progressive philology with TXM: from 'raw text' to 'TEI encoded text' analysis and mining	encoding - theory and practice; natural language processing; scholarly editing; software design and development; text analysis; xml; standards and interoperability; data mining / text mining; English
216	Kleppe, Martijn	Paper	KLEPPE_Martijn_Tracing_the_afterlife_of_iconic_photogra.xml	photographs; metadata; image recognition; iptc	Long Paper	Tracing the afterlife of iconic photographs using IPTC	audio; video; multimedia; historical studies; media studies; English
217	Hoover, David L.	Paper	HOOVER_David_L__Cora_Crane_s_Contribution_to_Stephen_Cr.xml	Stephen Crane; authorship attribution; Cora Crane; joint authorship	Long Paper	Cora Crane's Contribution to Stephen Crane's Posthumous Fiction	literary studies; stylistics and stylometry; text analysis; authorship attribution / authority; english studies; English
218	Poibeau, Thierry	Paper	POIBEAU_Thierry_Generating_Navigable_Semantic_Maps_from_Social_Sciences_Corpora.xml	Information extraction; graphs; vizualisation	Long Paper	Generating Navigable Semantic Maps from Social Sciences Corpora	information retrieval; natural language processing; semantic analysis; text analysis; knowledge representation; content analysis; visualisation; networks; relationships; graphs; spatio-temporal modeling; analysis and visualisation; linking and annotation; English
219	Wang, Ning; Hu, Jiajia	Paper	HU_Jiajia_Animation_of_Chinese_Characters__the_Evolutio.xml	Animation; the Evolution of Shapes and Styles of Chinese Characters	Poster	Animation of Chinese Characters: the Evolution of the Shapes and Styles	audio; video; multimedia; virtual and augmented reality; interdisciplinary collaboration; visualisation; English
220	Prebor, GIla; Zhitomirsky-Geffet, Maayan	Paper	PREBOR_GIla_Towards_an_Ontopedia_for_Post_Medieval_Hebr.xml	Ontology for historical manuscripts; Hebrew historical handwritten manuscripts; manuscript biographic ontology; semantic web	Poster	Towards an Ontopedia for Post-Medieval Hebrew Manuscripts	information retrieval; literary studies; medieval studies; ontologies; semantic analysis; knowledge representation; information architecture; bibliographic methods / textual studies; interdisciplinary collaboration; cultural studies; semantic web; English
221	Stutzmann, Dominique; Bluche, Théodore; Lavrentev, Alexei; Leydier, Yann; Kermorvant, Christopher	Paper	STUTZMANN_Dominique_From_Text_and_Image_to_Historical_R.xml	Digital Palaeography; TEI; Text-Image Alignment; Interactivity; Interdisciplinarity	Long Paper	From Text and Image to Historical Resource: Text-Image Alignment for Digital Humanists	corpora and corpus activities; image processing; digital humanities - nature and significance; medieval studies; data modeling and architecture including hypothesis-driven modeling; digitisation; resource creation; and discovery; scholarly editing; software design and development; text analysis; xml; content analysis; interdisciplinary collaboration; linguistics; cultural studies; visualisation; linking and annotation; standards and interoperability; data mining / text mining; English
222	Jannidis, Fotis; Pielström, Steffen; Schöch, Christof; Vitt, Thorsten	Paper	JANNIDIS_Fotis_Improving_Burrows__Delta___An_empirical_.xml	Burrows' Delta; Argamon; stylo	Long Paper	Improving Burrows’ Delta – An empirical evaluation of text distance measures	stylistics and stylometry; authorship attribution / authority; English
223	Connors, Louisa	Paper	CONNORS_Louisa_Function_word_stylistics_and_interpretat.xml	Early modern drama; stylistics; cognitive grammar	Long Paper	Function word stylistics and interpretation: Elizabeth Cary's Mariam	literary studies; stylistics and stylometry; English
224	Askey, Jennifer D	Paper	ASKEY_Jennifer_D_Queen_Luise_of_Prussia__a_Digital_Hagi.xml	German history; digitization; nineteenth century; fraktur	Short Paper	Queen Luise of Prussia, a Digital Hagiography	literary studies; digitisation; resource creation; and discovery; text analysis; authorship attribution / authority; german studies; English
225	Tang, Muh-Chyun; Cheng, Yun-Jen; Chen, Kuang-hua; Hsiang, Jieh	Paper	TANG_Muh_Chyun_A_Longitudinal_Analysis_of_Knowledge_Int.xml	digital humanities; co-citation analysis; interdisciplinarity; cohesion; diversity	Short Paper	A Longitudinal Analysis of Knowledge Integration in Digital Humanities Using Co-citation Analysis	bibliographic methods / textual studies; networks; relationships; graphs; English
226	Wallace, Stewart McAdam	Paper	WALLACE_Stewart_McAdam_Recording_Historical_Connections.xml	relationships; semantics; data-modelling; dictionaries; encyclopedias; history	Short Paper	Recording Historical Connections In The Dictionary Of Sydney.	archives; repositories; sustainability and preservation; historical studies; interface and user experience design; metadata; data modeling and architecture including hypothesis-driven modeling; ontologies; knowledge representation; internet / world wide web; cultural infrastructure; semantic web; English
227	Rochat, Yannick	Paper	ROCHAT_Yannick_Character_Network_Analysis_of__mile_Zola.xml	character networks; centrality; index; theory of the character; distant reading	Long Paper	Character Network Analysis of Émile Zola's Les Rougon-Macquart	literary studies; networks; relationships; graphs; English
228	Heuvel, Charles van den; van Bree, Pim; Kessels, Geert; Álvarez Francés, Leonor	Paper	HEUVEL_Charles_van_den_Mapping_Notes_And_Nodes__Buildin.xml	historical networks research; data-integration; visualization; creative industry;	Long Paper	Mapping Notes And Nodes: Building A Multi-Layered Network For A History Of The Cultural Industry	art history; databases & dbms; cultural studies; visualisation; cultural infrastructure; networks; relationships; graphs; English
